id,name,description,dosage_info,side_effects
1,"Tamoxifen","A selective estrogen receptor modulator used to treat hormone receptor-positive breast cancer.","20mg orally once daily for 5-10 years.","{'hot flashes','vaginal discharge','irregular periods','blood clots'}"
2,"Enzalutamide","An androgen receptor inhibitor used to treat prostate cancer.","160mg (four 40mg capsules) orally once daily.","{'fatigue','hot flashes','high blood pressure','headache','bone pain'}"
3,"FOLFOX","A chemotherapy regimen containing FOLinic acid, Fluorouracil, and OXaliplatin used for colorectal cancer.","Administered intravenously every 2 weeks for 12 cycles.","{'neuropathy','nausea','diarrhea','fatigue','neutropenia'}"
4,"Pembrolizumab","A PD-1 inhibitor immunotherapy used to treat various cancers including non-small cell lung cancer.","200mg intravenously every 3 weeks or 400mg every 6 weeks.","{'fatigue','rash','diarrhea','nausea','immune-related adverse events'}"
5,"Cytarabine","A chemotherapy agent used in the treatment of acute myeloid leukemia and other blood cancers.","100-200mg/m² daily for 7 days by continuous IV infusion.","{'nausea','vomiting','diarrhea','hair loss','bone marrow suppression'}"
6,"Degarelix","A gonadotropin-releasing hormone (GnRH) antagonist used to treat advanced prostate cancer. It works by blocking messages from the hypothalamus that tell the pituitary gland to produce luteinising hormone, which in turn tells the testicles to produce testosterone.","Initial dose: 240mg administered as two 120mg injections. Maintenance dose: 80mg administered as one injection every 28 days.","{'hot flashes','weight gain','increased liver enzymes','injection site reactions','decreased bone density'}"
7,"Doxorubicin","An anthracycline antibiotic used in chemotherapy for various cancers including breast cancer. It works by interfering with DNA replication in cancer cells.","60-75mg/m² IV every 21 days or 20mg/m² IV weekly.","{'hair loss','nausea','vomiting','heart damage','bone marrow suppression'}"
8,"Cisplatin","A platinum-based chemotherapy drug used to treat various cancers including lung cancer. It works by damaging DNA and preventing cancer cells from dividing.","50-100mg/m² IV every 3-4 weeks.","{'kidney damage','hearing loss','nerve damage','nausea','vomiting'}"
9,"Paclitaxel","A taxane drug used in chemotherapy for various cancers including breast and lung cancer. It works by preventing cancer cells from dividing.","175mg/m² IV over 3 hours every 3 weeks or 80mg/m² IV weekly.","{'hair loss','numbness in hands and feet','joint pain','low blood cell counts','allergic reactions'}"
10,"Bicalutamide","An anti-androgen medication used to treat prostate cancer. It works by blocking the action of testosterone on cancer cells.","50mg orally once daily (with LHRH analog) or 150mg once daily (monotherapy).","{'hot flashes','breast pain','breast enlargement','liver problems','fatigue'}"